,reportDate,dj_id,icb_sectorl1,icb_sectorl3,vol,is_selected
2396,2019-03-04,916775,0001,570,0.391649180421318,N
2268,2019-03-04,421342,8000,8350,0.367621076785212,N
2404,2019-03-04,NL606K,5000,5370,0.407836103946229,N
2420,2019-03-04,491603,5000,5750,0.424467325733313,N
2540,2019-03-04,DE5051,9000,9570,0.557604585210247,N
2532,2019-03-04,402186,9000,9530,0.546830991465658,N
2524,2019-03-04,DE3071,2000,2730,0.515243126048837,N
2516,2019-03-04,DE70A8,4000,4570,0.496230003523409,N
2508,2019-03-04,FR702F,9000,9530,0.480115156550561,N
2500,2019-03-04,775943,9000,9530,0.466142013037106,N
2492,2019-03-04,NL802I,2000,2790,0.461827480655875,N
2484,2019-03-04,492624,3000,3350,0.460291328509747,N
2476,2019-03-04,DE4061,5000,5370,0.450022317372404,N
2468,2019-03-04,BE8041,4000,4570,0.441343692316843,N
2460,2019-03-04,737826,8000,8350,0.436067748493412,N
2452,2019-03-04,440044,3000,3350,0.434333986881512,N
2444,2019-03-04,DE8054,9000,9530,0.432508917624175,N
2436,2019-03-04,476876,0001,570,0.427171050749283,N
2428,2019-03-04,477670,9000,9570,0.426115024327867,N
2412,2019-03-04,565478,9000,9530,0.416802409967014,N
2260,2019-03-04,435209,4000,4530,0.367192981624909,N
2252,2019-03-04,417841,5000,5330,0.366850841790306,N
2244,2019-03-04,DE50C8,1000,1350,0.365319537244276,N
2076,2019-03-04,548552,1000,1750,0.332651660609676,N
2068,2019-03-04,465940,6000,6530,0.331776867137269,N
2060,2019-03-04,470384,5000,5370,0.330571828636947,N
2052,2019-03-04,588950,9000,9570,0.328970835932139,N
2044,2019-03-04,DE50GC,3000,3350,0.328472696297472,N
2036,2019-03-04,512907,4000,4530,0.326563121881464,N
2028,2019-03-04,533458,2000,2710,0.326061639193863,N
2020,2019-03-04,466160,7000,7530,0.32598658940481,N
2012,2019-03-04,496960,2000,2350,0.325012800763329,N
2004,2019-03-04,866457,2000,2750,0.32199640369582,N
1996,2019-03-04,XXXXX3,0001,530,0.320299696633723,N
1988,2019-03-04,B0LKSK,5000,5550,0.319403546328562,N
1980,2019-03-04,IT509P,3000,3350,0.317754572747516,N
1972,2019-03-04,422060,3000,3350,0.315694886687596,N
1964,2019-03-04,709538,8000,8350,0.315539034271824,N
2084,2019-03-04,IT402H,3000,3760,0.333172543547817,N
2092,2019-03-04,453770,5000,5750,0.333784408458497,N
2100,2019-03-04,011517,5000,5750,0.334651691506189,N
2108,2019-03-04,507267,1000,1730,0.335187185737396,N
2236,2019-03-04,462220,4000,4570,0.36340069136234,N
2228,2019-03-04,FR103A,4000,4530,0.362845537527715,N
2220,2019-03-04,BE106W,4000,4570,0.361197491196164,N
2212,2019-03-04,NL603H,2000,2730,0.359441454616439,N
2204,2019-03-04,B1W4V6,2000,2730,0.356308282519335,N
2196,2019-03-04,462338,0001,580,0.35423657997738,N
2188,2019-03-04,DE7042,5000,5370,0.353886272788967,N
1340,2019-03-04,IT602J,8000,8570,0.256564022375085,N
2180,2019-03-04,555465,2000,2770,0.353500266214158,N
2164,2019-03-04,DE7053,5000,5330,0.352267085065453,N
2156,2019-03-04,529525,1000,1750,0.352187579053766,N
2148,2019-03-04,426724,8000,8350,0.342981579348052,N
2140,2019-03-04,525288,5000,5550,0.33963100033242,N
2132,2019-03-04,FR504F,2000,2790,0.339248082669207,N
2124,2019-03-04,489108,2000,2720,0.339109028623085,N
2116,2019-03-04,423244,8000,8350,0.337842198675844,N
2172,2019-03-04,B0704T,8000,8350,0.352438915892873,N
1332,2019-03-04,411515,2000,2350,0.256414097338939,N
1324,2019-03-04,401225,2000,2710,0.255266543272498,N
1316,2019-03-04,409590,3000,3720,0.254771764696636,N
153,2019-03-04,439155,8000,8770,0.160405199678742,Y
163,2019-03-04,430376,4000,4530,0.160524618097984,Y
173,2019-03-04,482030,8000,8770,0.161730773805341,Y
183,2019-03-04,407023,3000,3570,0.161886888383676,Y
193,2019-03-04,421185,5000,5330,0.163532028197246,Y
203,2019-03-04,468232,3000,3530,0.164493990020484,Y
213,2019-03-04,672716,7000,7530,0.16567374219735,Y
223,2019-03-04,DE301V,8000,8630,0.166259291707543,Y
233,2019-03-04,451180,8000,8530,0.167350554218389,Y
243,2019-03-04,401140,1000,1350,0.168245008885041,Y
252,2019-03-04,432154,8000,8770,0.168872160870544,Y
262,2019-03-04,936469,2000,2350,0.16945553838011,Y
272,2019-03-04,400169,8000,8570,0.169833893161871,Y
282,2019-03-04,ES403D,8000,8670,0.17009298413527,Y
292,2019-03-04,431536,7000,7530,0.170223154047984,Y
143,2019-03-04,B18S76,8000,8770,0.160233193494175,Y
302,2019-03-04,554398,8000,8570,0.170315835202952,Y
133,2019-03-04,477319,8000,8530,0.158386970809354,Y
113,2019-03-04,511938,6000,6570,0.157567644372897,Y
692,2019-03-04,441842,3000,3760,0.203178909519754,Y
684,2019-03-04,411232,5000,5750,0.203073962157489,Y
676,2019-03-04,573282,4000,4570,0.202967598050484,Y
668,2019-03-04,442031,3000,3720,0.202588230945205,Y
4,2019-03-04,B011JK,9000,9530,0.0318131464664597,Y
14,2019-03-04,439830,2000,2750,0.0778617541837689,Y
23,2019-03-04,143451,8000,8670,0.121182174058799,Y
33,2019-03-04,DE2070,8000,8630,0.138913030849343,Y
43,2019-03-04,DE80DC,3000,3350,0.14371428694495,Y
52,2019-03-04,DE6041,7000,7570,0.150681988460411,Y
63,2019-03-04,517617,6000,6530,0.1517536216892,Y
72,2019-03-04,491207,3000,3760,0.154430936801073,Y
82,2019-03-04,774563,8000,8670,0.15547037233723,Y
93,2019-03-04,755087,8000,8770,0.155937539070977,Y
102,2019-03-04,442464,7000,7530,0.156451990347099,Y
123,2019-03-04,DE107Z,8000,8630,0.157676489130554,Y
312,2019-03-04,477518,4000,4570,0.17048686155153,Y
322,2019-03-04,405671,8000,8530,0.170502728911661,Y
332,2019-03-04,738307,7000,7570,0.171886668353266,Y
533,2019-03-04,ES504F,2000,2770,0.186142664142399,Y
541,2019-03-04,453478,3000,3760,0.186657902161485,Y
549,2019-03-04,579802,7000,7530,0.18750992083137,Y
557,2019-03-04,702196,8000,8770,0.188201947999051,Y
565,2019-03-04,490541,0001,530,0.189949946744082,Y
573,2019-03-04,B01BN5,7000,7530,0.190147850781031,Y
581,2019-03-04,556582,8000,8670,0.191232670865807,Y
589,2019-03-04,408930,3000,3760,0.192275511808088,Y
597,2019-03-04,491134,8000,8670,0.19266406027224,Y
605,2019-03-04,443639,0001,530,0.192668968521332,Y
613,2019-03-04,EF2,7000,7570,0.193000737206318,Y
621,2019-03-04,480710,2000,2720,0.194706446164229,Y
629,2019-03-04,458887,8000,8530,0.195751955376163,Y
637,2019-03-04,547497,2000,2750,0.198202240410904,Y
644,2019-03-04,492752,7000,7570,0.200656581861297,Y
525,2019-03-04,B11ZRK,2000,2730,0.185661698790198,Y
517,2019-03-04,524918,7000,7530,0.185658897133034,Y
509,2019-03-04,B126KF,8000,8670,0.185597261953836,Y
501,2019-03-04,ES604G,8000,8670,0.185001376443255,Y
342,2019-03-04,439180,8000,8670,0.172342727491824,Y
352,2019-03-04,461075,8000,8530,0.173895881914234,Y
362,2019-03-04,481808,2000,2350,0.17530534426139,Y
372,2019-03-04,497711,5000,5550,0.176424011953809,Y
382,2019-03-04,DE3082,8000,8630,0.17814459894865,Y
392,2019-03-04,488082,6000,6530,0.179314480052399,Y
402,2019-03-04,B03851,2000,2350,0.179579615231439,Y
700,2019-03-04,473322,0001,530,0.205058876147643,Y
412,2019-03-04,417986,7000,7570,0.180728677364654,Y
432,2019-03-04,441930,3000,3530,0.182125903812077,Y
442,2019-03-04,401093,5000,5330,0.18239986571009,Y
452,2019-03-04,401632,8000,8530,0.182982049925751,Y
462,2019-03-04,538755,8000,8530,0.18357275987184,Y
472,2019-03-04,401190,1000,1350,0.183759157349211,Y
483,2019-03-04,DE7075,8000,8630,0.183865614974549,Y
493,2019-03-04,441920,3000,3530,0.184068672564421,Y
422,2019-03-04,NL403F,8000,8570,0.18076045017842,Y
2548,2019-03-04,750892,2000,2790,0.640522898494898,N
708,2019-03-04,DE601Y,7000,7570,0.206681787077903,Y
724,2019-03-04,416279,2000,2710,0.207768637347178,Y
1156,2019-03-04,533338,2000,2350,0.23847743994864,N
1148,2019-03-04,476776,2000,2710,0.23812515685169,N
1140,2019-03-04,557955,7000,7530,0.237918675750699,N
1132,2019-03-04,441870,2000,2350,0.237736970929662,N
1124,2019-03-04,FR506H,2000,2710,0.236911398128709,N
1116,2019-03-04,307428,3000,3530,0.236719053768032,N
1109,2019-03-04,448816,8000,8350,0.235032051699036,N
1101,2019-03-04,NL602G,8000,8350,0.23468998648171,N
1093,2019-03-04,711131,5000,5370,0.233965817196225,N
1085,2019-03-04,483410,2000,2730,0.233863780276384,N
1077,2019-03-04,461785,2000,2770,0.233409124293501,N
1069,2019-03-04,468520,4000,4530,0.232450486688665,N
1061,2019-03-04,481775,8000,8350,0.2313137358072,N
1053,2019-03-04,EF025,7000,7570,0.230696078577128,N
1045,2019-03-04,714131,2000,2750,0.229855853158365,N
1164,2019-03-04,B00D9P,6000,6530,0.240782693439835,N
1037,2019-03-04,ES0017,9000,9530,0.229524000185627,N
1172,2019-03-04,457270,2000,2770,0.241221954659702,N
1188,2019-03-04,599933,2000,2790,0.243098435664649,N
1308,2019-03-04,482110,1000,1350,0.254552344708081,N
1300,2019-03-04,DE2092,6000,6570,0.254549033158928,N
1292,2019-03-04,472370,2000,2790,0.25293951610928,N
1284,2019-03-04,733945,4000,4530,0.252619332136597,N
1276,2019-03-04,B0Z5YZ,1000,1350,0.25139459647887,N
1268,2019-03-04,425240,3000,3350,0.250507021339663,N
1260,2019-03-04,FR1018,9000,9530,0.249035920427027,N
1252,2019-03-04,479736,8000,8530,0.247310272063963,N
1244,2019-03-04,550190,8000,8350,0.245550684708272,N
1236,2019-03-04,463841,9000,9570,0.245113727192384,N
1228,2019-03-04,400609,8000,8570,0.244101617841066,N
1220,2019-03-04,570151,6000,6530,0.243732939799034,N
1212,2019-03-04,424910,1000,1350,0.243730369942728,N
1204,2019-03-04,475531,3000,3530,0.243681165229175,N
1196,2019-03-04,018270,2000,2350,0.243501203396477,N
1180,2019-03-04,DE8087,4000,4530,0.241961912200141,N
1029,2019-03-04,588171,8000,8770,0.229064039086995,N
1021,2019-03-04,513962,2000,2750,0.228949903196979,N
1013,2019-03-04,DE305Z,1000,1350,0.228869859719731,N
845,2019-03-04,476837,2000,2350,0.217662655941111,Y
837,2019-03-04,449667,2000,2750,0.217515112561171,Y
829,2019-03-04,408348,1000,1350,0.216553818711349,Y
821,2019-03-04,407141,8000,8350,0.216447736899346,Y
813,2019-03-04,465975,2000,2770,0.216118889781229,Y
805,2019-03-04,B164FY,2000,2770,0.213840010214032,Y
797,2019-03-04,549913,7000,7530,0.211783515505422,Y
789,2019-03-04,419454,3000,3760,0.211330568008147,Y
781,2019-03-04,049065,3000,3570,0.211166777743947,Y
773,2019-03-04,430230,5000,5550,0.211063371091996,Y
764,2019-03-04,NL402E,1000,1350,0.210482014776894,Y
757,2019-03-04,491062,4000,4570,0.208960791474684,Y
748,2019-03-04,408522,3000,3350,0.208952950400541,Y
740,2019-03-04,B28DTJ,2000,2790,0.208249479058372,Y
732,2019-03-04,B0C2CQ,7000,7570,0.207777714386599,Y
853,2019-03-04,IT607O,7000,7570,0.217988752554888,Y
861,2019-03-04,449000,5000,5330,0.218212376840016,Y
869,2019-03-04,449774,8000,8350,0.218235784408181,Y
877,2019-03-04,B1JB4K,1000,1350,0.218926861259803,Y
1005,2019-03-04,474184,4000,4570,0.226534987759182,N
997,2019-03-04,B1FW75,0001,530,0.225805342472285,N
989,2019-03-04,EG063,1000,1350,0.224566236923446,N
981,2019-03-04,ES502D,6000,6570,0.224347448910922,N
973,2019-03-04,759800,7000,7570,0.224322404608615,N
965,2019-03-04,407228,8000,8350,0.224138886383163,N
957,2019-03-04,454721,5000,5550,0.223943787663326,N
716,2019-03-04,710755,2000,2770,0.206982149564392,Y
949,2019-03-04,738006,8000,8770,0.223608774076598,N
933,2019-03-04,FR405F,8000,8770,0.222903226559237,N
925,2019-03-04,715672,3000,3530,0.222497790850128,N
917,2019-03-04,413366,8000,8350,0.22222907143657,N
909,2019-03-04,476361,9000,9530,0.222212876537599,N
901,2019-03-04,726261,8000,8350,0.220385163675238,N
893,2019-03-04,453456,6000,6530,0.220359841935722,Y
885,2019-03-04,442990,2000,2350,0.220133908210002,Y
941,2019-03-04,NL604I,8000,8530,0.223494052543105,N
652,2019-03-04,EF024,2000,2770,0.200706973779508,Y
660,2019-03-04,725147,0001,570,0.201545957284544,Y
758,2019-06-04,443639,0001,530,0.189578055297341,Y
805,2019-06-04,407141,8000,8350,0.221271413105221,N
804,2019-06-04,408348,1000,1350,0.225278241602642,N
803,2019-06-04,408530,4000,4570,0.329946144046524,N
802,2019-06-04,550190,8000,8350,0.253653553477045,N
801,2019-06-04,407026,8000,8350,0.257596064821632,N
800,2019-06-04,737826,8000,8350,0.426594153455057,N
806,2019-06-04,007560,8000,8350,0.335805007242079,N
799,2019-06-04,709538,8000,8350,0.328545227914484,N
797,2019-06-04,408930,3000,3760,0.188198741210012,Y
796,2019-06-04,B00D9P,6000,6530,0.244562336297285,N
795,2019-06-04,409590,3000,3720,0.249153934562481,N
794,2019-06-04,B01MJR,4000,4530,0.282621387958279,N
793,2019-06-04,408522,3000,3350,0.220238904672495,N
792,2019-06-04,413366,8000,8350,0.238248659299849,N
798,2019-06-04,407228,8000,8350,0.225672401830863,N
807,2019-06-04,458887,8000,8530,0.152561966660501,Y
808,2019-06-04,565478,9000,9530,0.426426880461132,N
809,2019-06-04,555465,2000,2770,0.34593028536134,N
824,2019-06-04,401093,5000,5330,0.187020490969312,Y
823,2019-06-04,491603,5000,5750,0.408735501828713,N
822,2019-06-04,401140,1000,1350,0.167487298485055,Y
821,2019-06-04,401190,1000,1350,0.182749477180763,Y
820,2019-06-04,401632,8000,8530,0.173738958614953,Y
819,2019-06-04,001978,8000,8350,0.282525334046425,N
818,2019-06-04,547497,2000,2750,0.199547827932017,Y
817,2019-06-04,402186,9000,9530,0.555775396665012,N
816,2019-06-04,714131,2000,2750,0.261883391544112,N
815,2019-06-04,475531,3000,3530,0.249094738400931,N
814,2019-06-04,529525,1000,1750,0.363992943267581,N
813,2019-06-04,B0Z5YZ,1000,1350,0.264893393857479,N
812,2019-06-04,888051,9000,9570,0.387068405789918,N
811,2019-06-04,546078,9000,9570,0.292109635072493,N
810,2019-06-04,405671,8000,8530,0.15373591213601,Y
791,2019-06-04,457270,2000,2770,0.227576703171547,N
790,2019-06-04,B18S76,8000,8770,0.165943613208301,Y
789,2019-06-04,411376,2000,2350,0.265069768144331,N
788,2019-06-04,411515,2000,2350,0.258830253712531,N
768,2019-06-04,B234WN,4000,4530,0.287290874064833,N
767,2019-06-04,492752,7000,7570,0.192699123205571,Y
766,2019-06-04,401225,2000,2710,0.250809782527588,N
765,2019-06-04,B0NJJ1,7000,7530,0.258881972751802,N
764,2019-06-04,524918,7000,7530,0.158341177251093,Y
763,2019-06-04,936469,2000,2350,0.18394677944123,Y
762,2019-06-04,570151,6000,6530,0.248155289649286,N
761,2019-06-04,738307,7000,7570,0.178185822848801,Y
760,2019-06-04,431536,7000,7530,0.171245925591239,Y
759,2019-06-04,579802,7000,7530,0.169883915971924,Y
651,2019-06-04,477319,8000,8530,0.165045618501242,Y
757,2019-06-04,528983,8000,8350,0.267236688271027,N
756,2019-06-04,430376,4000,4530,0.196568806656601,Y
755,2019-06-04,421185,5000,5330,0.151762234730314,Y
754,2019-06-04,432154,8000,8770,0.161279789114505,Y
769,2019-06-04,511938,6000,6570,0.148757736311472,Y
825,2019-06-04,400609,8000,8570,0.244399774702112,N
770,2019-06-04,461785,2000,2770,0.212550280872671,Y
772,2019-06-04,426724,8000,8350,0.338464901300073,N
787,2019-06-04,B28DTJ,2000,2790,0.21399561725602,Y
786,2019-06-04,416343,9000,9530,0.285848668570344,N
785,2019-06-04,417754,5000,5330,0.276034431644236,N
784,2019-06-04,417841,5000,5330,0.416463332583143,N
783,2019-06-04,419454,3000,3760,0.216605977646655,Y
782,2019-06-04,B03851,2000,2350,0.177080578910932,Y
781,2019-06-04,554398,8000,8570,0.182322203577634,Y
780,2019-06-04,143451,8000,8670,0.11531056590483,Y
779,2019-06-04,421342,8000,8350,0.385074617708994,N
778,2019-06-04,726261,8000,8350,0.249358060058703,N
777,2019-06-04,018270,2000,2350,0.246842231588099,N
776,2019-06-04,EE009,8000,8350,0.27187459921284,N
775,2019-06-04,425240,3000,3350,0.267490065521021,N
774,2019-06-04,533004,9000,9530,0.291133789369124,N
773,2019-06-04,715672,3000,3530,0.234285901115774,N
771,2019-06-04,702196,8000,8770,0.179877770346207,Y
826,2019-06-04,B164FY,2000,2770,0.231678663928931,N
827,2019-06-04,403197,3000,3760,0.256050120615118,N
828,2019-06-04,533338,2000,2350,0.214290037393451,Y
881,2019-06-04,NL604I,8000,8530,0.212444785329039,Y
880,2019-06-04,NL603H,2000,2730,0.326250616949724,N
879,2019-06-04,NL602G,8000,8350,0.227895561799695,N
878,2019-06-04,IT602J,8000,8570,0.254109587568882,N
877,2019-06-04,IT509P,3000,3350,0.302428538361021,N
876,2019-06-04,DE50GC,3000,3350,0.345191073060333,N
875,2019-06-04,FR509K,8000,8770,0.261124060274377,N
874,2019-06-04,DE50C8,1000,1350,0.373599199445515,N
873,2019-06-04,DE50B7,9000,9530,0.281215121791977,N
872,2019-06-04,FR506H,2000,2710,0.242661219218237,N
871,2019-06-04,DE5084,2000,2750,0.380450878401321,N
870,2019-06-04,FR504F,2000,2790,0.352374145366694,N
869,2019-06-04,ES504F,2000,2770,0.180204237799088,Y
868,2019-06-04,ES502D,6000,6570,0.248576582867732,N
867,2019-06-04,FR502D,2000,2790,0.317249167623651,N
882,2019-06-04,ES604G,8000,8670,0.169571309815418,Y
866,2019-06-04,LU501L,8000,8630,0.187926510885567,Y
883,2019-06-04,DE601Y,7000,7570,0.205104502784333,Y
885,2019-06-04,IT607O,7000,7570,0.185345203810943,Y
900,2019-06-04,DE8087,4000,4530,0.222438254774767,N
899,2019-06-04,DE8054,9000,9530,0.439927473979716,N
898,2019-06-04,BE8041,4000,4570,0.446685704314615,N
897,2019-06-04,DE70FD,1000,1350,0.27140805577459,N
896,2019-06-04,IT708Q,3000,3350,0.301843502301102,N
