compositionDate;securityDate;inputCurrency;stoxxid;securityName;isin;sedol;currency;icb5_l1;icb5_l2;icb5_l3;icb5_l4;country;BBGTicker;shareClass;RIC;RICExtension;parentStoxxId;countryOfIncorporation;ISO2CountryDom;exchangeName;isoCountryCode;countryCode;mappedRegions;isoMicCode;closePrice;adjustedOpenPrice;adjustedOpenGross;adjustedOpenNet;adjustmentFactor;fxLocUsed;isStockConnectSecurity;Foreign Ownership Limit;Foreign Holding;Foreign Headroom;FreeFloat;shares;ffmcap;size;index_weight_close;index_weight_open;ADTV_3m_USD;ADTV_3m_EUR;ADTV_6m_USD;ADTV_6m_EUR;ADTV_9m_USD;ADTV_9m_EUR;ADTV_12m_USD;ADTV_12m_EUR;orgPermId;comName;typeCode;description;ultimateParentOrgPermID;ultimateParentName;ultimateParentTypeCode;ultimateParentTypeDescription;axiomaId;composition_date;Unnamed: 0;reportDate;dj_id;vol;inverse;inverse_vol
20241223;20241223;EUR;774563;COVIVIO;FR0000064578;7745638;EUR;35;3510;351020;35102030;FR;;;CVO.PA1;PA1;;FR;FR;;;FR;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;48.88;48.88;48.88;48.88;;1.0;False;1.0;0.0;1.0;0.4964;111623468;2708435400;;0.0005064;0.0005048;5892755.155964401;5527534.91025926;5930060.13995937;5470891.400354099;6469417.88213321;5982553.48966769;7764009.55311165;7167087.76613152;4295867087;Covivio SA;CINV;Collective Investment;4295867087;Covivio SA;CINV;Collective Investment;9D3U5HF14;2024-12-23;1397;2024-12-05;774563;0.255867283843323;1;3.908276138235543
20241223;20241223;EUR;866457;KONECRANES;FI0009005870;B11WFP1;EUR;50;5020;502060;50206015;FI;;;KCRA.HE;HE;;FI;FI;Nasdaq Nordic Helsinki;FI;FI;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','19':'Nordic','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','38':'Nordic (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};XHEL;62.05;62.05;62.05;62.05;;1.0;False;1.0;0.0;1.0;0.889;79221906;4370074429;;0.0008148;0.0008145;6500659.88442472;6065095.37322861;6587252.25880745;6069840.95980116;7050593.63313905;6516523.49320879;7266311.99553466;6712590.08518036;4295866309;Konecranes Abp;COM;Business Organization;4295866309;Konecranes Abp;COM;Business Organization;DTW3DTJH8;2024-12-23;1837;2024-12-05;866457;0.302709919023346;1;3.303492674526059
20241223;20241223;EUR;888051;ASM INTERNATIONAL;NL0000334118;5165294;EUR;10;1010;101020;10102020;NL;;;ASMI.AS1;AS1;;NL;NL;;;NL;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;564.2;564.2;564.2;564.2;;1.0;False;1.0;0.0;1.0;0.9454;49428548;26364924543;;0.0049273;0.0049138;78925150.9159336;73796360.0020049;83088095.8471721;76662178.563774;84353876.8724029;78037618.3091512;82422891.14557908;76183439.4751424;4295884747;ASM International NV;COM;Business Organization;4295884747;ASM International NV;COM;Business Organization;U943XACU1;2024-12-23;2333;2024-12-05;888051;0.426901581923304;1;2.3424602820508107
20241223;20241223;EUR;936469;EIFFAGE;FR0000130452;B13X013;EUR;50;5010;501010;50101010;FR;;;FOUG.PA1;PA1;;FR;FR;;;FR;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;82.06;82.06;82.06;82.06;;1.0;False;1.0;0.0;1.0;0.9488;98000000;7630135744;;0.0014341;0.0014988;24001743.6149798;22440902.9916397;23327422.4654844;21521176.9167017;24077284.1160009;22270247.7729336;23120970.4460749;21368467.9068103;4295867230;Eiffage SA;COM;Business Organization;4295867230;Eiffage SA;COM;Business Organization;B737KYYS1;2024-12-23;629;2024-12-05;936469;0.200982844178779;1;4.975549052885709
20241223;20241223;EUR;AT701B;BAWAG GROUP AG;AT0000BAWAG2;BZ1GZ06;EUR;30;3010;301010;30101010;AT;;;BAWG.VI;VI;;AT;AT;Wienerborse - Main market;AT;AT;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};WBAH;79.5;79.5;79.5;79.5;;1.0;False;1.0;0.0;1.0;1.0;78600000;6248700000;;0.0011729;0.0011646;9239250.91706239;8648117.69332716;9305361.26188889;8591546.09169109;9050937.75155771;8374506.43514415;8908981.20027969;8235886.68551199;5000015903;BAWAG Group AG;COM;Business Organization;5000015903;BAWAG Group AG;COM;Business Organization;NNMLAMU60;2024-12-23;1293;2024-12-05;AT701B;0.247477148178127;1;4.04077712775415
20241223;20241223;EUR;B019M6;AZIMUT HLDG;IT0003261697;B019M65;EUR;30;3020;302020;30202010;IT;;;AZMT.MI;MI;;IT;IT;Euronext Milan Electronic Share Market (prev. Borsa Italia MTA (Equities);IT;IT;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};MTAA;23.8;23.8;23.8;23.8;;1.0;False;1.0;0.0;1.0;0.7775;143254497;2650852840;;0.0004954;0.0004941;17882048.4490465;16779217.558423;14327032.820700305;13286081.286488;14833997.011086902;13758007.4523051;16896805.035060097;15624408.7091279;4295875508;Azimut Holding SpA;COM;Business Organization;4295875508;Azimut Holding SpA;COM;Business Organization;8DMHQ95U5;2024-12-23;1013;2024-12-05;B019M6;0.228647205457118;1;4.3735500637358395
20241223;20241223;EUR;B01BN5;TERNA;IT0003242622;B01BN57;EUR;65;6510;651010;65101015;IT;;;TRN.MI;MI;;IT;IT;Euronext Milan Electronic Share Market (prev. Borsa Italia MTA (Equities);IT;IT;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};MTAA;7.61;7.61;7.61;7.61;;1.0;False;1.0;0.0;1.0;0.7015;2009992000;10730171443;;0.0020114;0.0019999;28803864.439657696;27016887.614145603;28837899.858436897;26646218.3854387;32198722.684369896;29809546.27687669;32405847.431799103;29960986.110203102;4295875459;Terna Rete Elettrica Nazionale SpA;COM;Business Organization;4295875459;Terna Rete Elettrica Nazionale SpA;COM;Business Organization;5KLNCD130;2024-12-23;181;2024-12-05;B01BN5;0.166246540489106;1;6.01516276403676
20241223;20241223;EUR;B01MJR;BIOMERIEUX;FR0013280286;BF0LBX7;EUR;20;2010;201020;20102010;FR;;;BIOX.PA1;PA1;;FR;FR;;;FR;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};;102.2;102.2;102.2;102.2;;1.0;False;1.0;0.0;1.0;0.411;118361220;4971668357;;0.0009251;0.0009266;10654946.2967968;9971659.40617014;10006123.2696619;9232217.89897896;10715975.4880645;9908974.73315882;10369045.9524391;9580701.81647446;5000073706;Biomerieux SA;COM;Business Organization;5000920991;Compagnie Merieux Alliance SAS;COM;Business Organization;PADCPUMG9;2024-12-23;973;2024-12-05;B01MJR;0.224988044389493;1;4.444680617201277
20241223;20241223;EUR;B01SPF;GRIFOLS;ES0171996087;BYY3DX6;EUR;20;2010;201030;20103010;ES;;;GRLS.MC;MC;;ES;ES;Madrid Stock Exchange;ES;ES;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};XMAD;9.268;9.268;9.268;9.268;;1.0;False;1.0;0.0;1.0;0.6896;426129798;2723486219;;0.0005066;0.0005101;19413846.7639696;18238336.0840691;20441963.6672507;18909413.2284456;22614088.090120003;20949716.935208;29267194.754968703;27021439.5586101;4295889506;Grifols SA;COM;Business Organization;4295889506;Grifols SA;COM;Business Organization;YHZLYBD64;2024-12-23;2437;2024-12-05;B01SPF;0.791918339580252;1;1.2627564611397173
20241223;20241223;EUR;B03851;FERROVIAL;NL0015001FS8;BRS7CF0;EUR;50;5010;501010;50101010;ES;;;FER.MC;MC;;NL;ES;Madrid Stock Exchange;ES;ES;{'14':'Europe','15':'Eurozone','16':'Global (all)','17':'Global (developed)','2':'All Europe','23':'Eurozone Official','24':'Developed Market(Stoxx World)','35':'All Europe (Stoxx World)','36':'Western Europe (Stoxx World)','43':'European Union (Stoxx World)','44':'Eurozone (Stoxx World)','47':'Developed Market + K (Stoxx World)','9':'Developed Markets'};XMAD;39.84;39.84;39.84;39.84;;1.0;False;1.0;0.0;1.0;0.6638;732163043;19362631545;;0.0036477;0.0036126;35644032.3311011;33492039.0966737;32969143.7708148;30542551.750682104;34033750.8338929;31561153.935549296;34605041.9111616;32034374.92665061;5068933357;Ferrovial SE;COM;Business Organization;5068933357;Ferrovial SE;COM;Business Organization;HAWC994X5;2024-12-23;565;2024-12-05;B03851;0.19560704203571;1;5.112290383786081
