compositionDate;securityDate;inputCurrency;stoxxid;securityName;isin_x;sedol_x;currency_x;icb5_l1;icb5_l2;icb5_l3;icb5_l4;country;BBGTicker;shareClass;RIC;RICExtension;parentStoxxId;countryOfIncorporation;ISO2CountryDom;exchangeName;isoCountryCode;countryCode;isoMicCode;closePrice;adjustedOpenPrice;adjustedOpenGross;adjustedOpenNet;adjustmentFactor;fxLocUsed;isStockConnectSecurity;Foreign Ownership Limit;Foreign Holding;Foreign Headroom;FreeFloat;shares;ffmcap;size;index_weight_close;index_weight_open;ADTV_3m_USD;ADTV_3m_EUR;ADTV_6m_USD;ADTV_6m_EUR;ADTV_9m_USD;ADTV_9m_EUR;ADTV_12m_USD;ADTV_12m_EUR;orgPermId;comName;typeCode;description;ultimateParentOrgPermID;ultimateParentName;ultimateParentTypeCode;ultimateParentTypeDescription;axiomaId;composition_date;index_symbol;security_id;dj_id;name;isin_y;sedol_y;ric;currency_y;icb_sectorl1;icb_sectorl3;bbg_ticker;infocode;vol;vol_rank;geogra_area;was_in_prev_selection;is_selected;rejection_reason;reportDate;inverse;inverse_vol;exclusion;Step 1 icb_sectorl1 exclusion;Step 2 icb_sectorl3 exclusion;Step 3 vol exclusion;Step 3 top 100 by vol asc final rank;divide_attribute_1_vol;weight;capped_weight;cap_limit;cap_factor_mcap_neutral;cap_factor;weight_factor
20250314;20250314;EUR;453456;KPN;NL0000009082;5956078;EUR;15;1510;151020;15102015;NL;;;KPN.AS1;AS1;;NL;NL;;;NL;;3.777;3.777;3.777;3.777;;1.0;False;1.0;0.0;1.0;1.0;3888930422;14688490204;M;0.0001868;0.0001868;28409066.9609721;27269287.0542639;30141552.0196013;28243416.5072222;32726116.5195578;30471192.0551305;33842773.2196129;31462308.5154101;4295884844;Koninklijke KPN NV;COM;Business Organization;4295884844;Koninklijke KPN NV;COM;Business Organization;N3AR1FG81;2025-03-14;SXLV1E;20293;453456;KPN;NL0000009082;5956078;KPN.AS;EUR;15;151020;KPN NA Equity;3159;0.131224627;1;NL;Y;Y;;2025-03-14;1;7.620520803614095;False;False;False;False;1.0;7.620520803614095;0.015272771173083996;0.015272771173083996;0.1;1.0;1.0;4043624.880350542
20250314;20250314;EUR;407023;DANONE;FR0000120644;B1Y9TB3;EUR;45;4510;451020;45102020;FR;;;DANO.PA1;PA1;;FR;FR;;;FR;;70.66;70.66;70.66;70.66;;1.0;False;1.0;0.0;1.0;0.9479;679553991;45515584455;L;0.000579;0.000579;81670163.4928779;78391795.7040695;82449221.7600329;77406852.0312052;80140438.1850524;74801206.2674845;77162032.7447588;71906561.5226961;4295867387;Danone SA;COM;Business Organization;4295867387;Danone SA;COM;Business Organization;S6BV2GX61;2025-03-14;SXLV1E;20513;407023;DANONE;FR0000120644;B1Y9TB3;DANO.PA;EUR;45;451020;BN FP Equity;46462;0.132616405;2;FR;Y;Y;;2025-03-14;1;7.540545228925486;False;False;False;False;2.0;7.540545228925486;0.015112487029370915;0.015112487029370915;0.1;1.0;1.0;213876.12552180747
20250314;20250314;EUR;442464;IBERDROLA;ES0144580Y14;B288C92;EUR;65;6510;651010;65101015;ES;;;IBE.MC;MC;;ES;ES;Madrid Stock Exchange;ES;ES;XMAD;13.905;13.905;13.905;13.905;;1.0;False;1.0;0.0;1.0;0.9129;6364251000;80787003480;L;0.0010276;0.0010276;105655709.127451;101471635.464989;114419972.478778;107285432.87863;116392997.702366;108478843.842649;115838504.666201;107803788.095976;4295889602;Iberdrola SA;COM;Business Organization;4295889602;Iberdrola SA;COM;Business Organization;6KV226XP6;2025-03-14;SXLV1E;20437;442464;IBERDROLA;ES0144580Y14;B288C92;IBE.MC;EUR;65;651010;IBE SQ Equity;52457;0.154274053;6;ES;Y;Y;;2025-03-14;1;6.4819714044849785;False;False;False;False;3.0;6.4819714044849785;0.012990931796186753;0.012990931796186753;0.1;1.0;1.0;934263.3438465842
20250314;20250314;EUR;511938;DEUTSCHE TELEKOM;DE0005557508;5842359;EUR;15;1510;151020;15102015;DE;;;DTEGn.DE;DE;;DE;DE;XETRA;DE;DE;XETR;33.81;33.81;33.81;33.81;;1.0;False;1.0;0.0;1.0;0.7182;4986458596;121082892997;L;0.0015402;0.0015402;228231062.470452;219068046.850297;202167465.904126;190235467.950215;192243553.828327;179719582.303649;189656803.875941;176904554.882652;4295870332;Deutsche Telekom AG;COM;Business Organization;4295870332;Deutsche Telekom AG;COM;Business Organization;ALNUUGTM5;2025-03-14;SXLV1E;20727;511938;DEUTSCHE TELEKOM;DE0005557508;5842359;DTEGn.DE;EUR;15;151020;DTE GY Equity;43614;0.157169125;8;DE;Y;Y;;2025-03-14;1;6.36257280175098;False;False;False;False;4.0;6.36257280175098;0.012751637450703504;0.012751637450703504;0.1;1.0;1.0;377155.7956434044
20250314;20250314;EUR;B01BN5;TERNA;IT0003242622;B01BN57;EUR;65;6510;651010;65101015;IT;;;TRN.MI;MI;;IT;IT;Euronext Milan Electronic Share Market (prev. Borsa Italia MTA (Equities);IT;IT;MTAA;7.928;7.928;7.928;7.928;;1.0;False;1.0;0.0;1.0;0.7015;2009992000;11178554428;M;0.0001422;0.0001422;31945111.7542104;30674744.1749921;30470546.741682;28641989.4470041;31966965.6108181;29840157.2769362;33034248.417036;30763214.0882185;4295875459;Terna Rete Elettrica Nazionale SpA;COM;Business Organization;4295875459;Terna Rete Elettrica Nazionale SpA;COM;Business Organization;5KLNCD130;2025-03-14;SXLV1E;19669;B01BN5;TERNA;IT0003242622;B01BN57;TRN.MI;EUR;65;651010;TRN IM Equity;19069;0.158303226;9;IT;Y;Y;;2025-03-14;1;6.316990659432298;False;False;False;False;5.0;6.316990659432298;0.012660283375679914;0.012660283375679914;0.1;1.0;1.0;1596907.5902724413
20250314;20250314;EUR;517617;ORANGE;FR0000133308;5176177;EUR;15;1510;151020;15102015;FR;;;ORAN.PA1;PA1;;FR;FR;;;FR;;11.85;11.85;11.85;11.85;;1.0;False;1.0;0.0;1.0;0.7471;2660056599;23549840179;L;0.0002996;0.0002996;78141070.1234916;74962536.7790615;74923215.5674185;70356190.1049762;73634489.0953506;68733519.9876388;71745424.7267099;66858210.3078599;4295868416;Orange SA;COM;Business Organization;4295868416;Orange SA;COM;Business Organization;B31231481;2025-03-14;SXLV1E;20579;517617;ORANGE;FR0000133308;5176177;ORAN.PA;EUR;15;151020;ORA FP Equity;43868;0.159739175;10;FR;Y;Y;;2025-03-14;1;6.260205112490408;False;False;False;False;6.0;6.260205112490408;0.012546475843789102;0.012546475843789102;0.1;1.0;1.0;1058774.332809207
20250314;20250314;EUR;401140;AIR LIQUIDE;FR0000120073;B1YXBJ7;EUR;55;5520;552010;55201020;FR;;;AIRP.PA1;PA1;;FR;FR;;;FR;;179.28;179.28;179.28;179.28;;1.0;False;1.0;0.0;1.0;1.0;578254787;103669518213;L;0.0013187;0.0013187;123527152.440575;118581391.910877;116376630.655424;109435319.140383;113663652.906702;106216171.532745;111738520.340058;104204067.22465;4295867366;L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA;COM;Business Organization;4295867366;L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA;COM;Business Organization;37KS8BCR5;2025-03-14;SXLV1E;21098;401140;AIR LIQUIDE;FR0000120073;B1YXBJ7;AIRP.PA;EUR;55;552010;AI FP Equity;46769;0.161406242;11;FR;Y;Y;;2025-03-14;1;6.195547257707666;False;False;False;False;7.0;6.195547257707666;0.012416890918284932;0.012416890918284932;0.1;1.0;1.0;69259.76638936263
20250314;20250314;EUR;401093;AHOLD DELHAIZE;NL0011794037;BD0Q398;EUR;45;4520;452010;45201010;NL;;;AD.AS1;AS1;;NL;NL;;;NL;;33.96;33.96;33.96;33.96;;1.0;False;1.0;0.0;1.0;1.0;929345662;31560578682;L;0.0004015;0.0004015;76548755.7665165;73493797.1109246;70611482.853266;66429302.9138285;68144954.1165998;63663787.7611558;66727162.8704838;62226707.4662278;4295884672;Koninklijke Ahold Delhaize NV;COM;Business Organization;4295884672;Koninklijke Ahold Delhaize NV;COM;Business Organization;CDCSZTGL1;2025-03-14;SXLV1E;21104;401093;AHOLD DELHAIZE;NL0011794037;BD0Q398;AD.AS;EUR;45;452010;AD NA Equity;46598;0.163214797;12;NL;Y;Y;;2025-03-14;1;6.126895467694636;False;False;False;False;8.0;6.126895467694636;0.012279301492770293;0.012279301492770293;0.1;1.0;1.0;361581.3160415281
20250314;20250314;EUR;EF024;Getlink;FR0010533075;B292JQ9;EUR;50;5020;502060;50206020;FR;;;GETP.PA1;PA1;;FR;FR;;;FR;;15.4;15.4;15.4;15.4;;1.0;False;1.0;0.0;1.0;0.5667;550000000;4799949000;M;6.11e-05;6.11e-05;9889663.20223465;9486628.49717006;10694068.4115403;10015744.0583914;11708939.4366155;10896331.4050425;11758666.172118;10927760.9401283;4295868297;Getlink SE;COM;Business Organization;4295868297;Getlink SE;COM;Business Organization;HXFRR6QS4;2025-03-14;SXLV1E;20512;EF024;Getlink;FR0010533075;B292JQ9;GETP.PA;EUR;50;502060;GET FP Equity;137702;0.164355022;13;FR;Y;Y;;2025-03-14;1;6.0843896817463845;False;False;False;False;9.0;6.0843896817463845;0.012194112939513951;0.012194112939513951;0.1;1.0;1.0;791825.5155528539
20250314;20250314;EUR;408930;BEIERSDORF;DE0005200000;5107401;EUR;45;4520;452010;45201020;DE;;;BEIG.DE;DE;;DE;DE;XETRA;DE;DE;XETR;133.75;133.75;133.75;133.75;;1.0;False;1.0;0.0;1.0;0.38;248000000;12604600000;L;0.0001603;0.0001603;28674737.110879;27526292.7172907;30133968.463272;28229976.0228502;35118084.5863958;32670598.6208881;36077733.6330831;33526333.5856759;4295869070;Beiersdorf AG;COM;Business Organization;4295868967;maxingvest GmbH & Co KgaA;COM;Business Organization;VU7LM14A5;2025-03-14;SXLV1E;20929;408930;BEIERSDORF;DE0005200000;5107401;BEIG.DE;EUR;45;452010;BEI GY Equity;46898;0.164672851;15;DE;Y;Y;;2025-03-14;1;6.072646425487586;False;False;False;False;10.0;6.072646425487586;0.012170577531595053;0.012170577531595053;0.1;1.0;1.0;90994.97219884153
